Number of files in the pypy subtree
number of files,  number of non-test files,  number of testfiles
2006-08-18, 1091, 424
2006-08-19, 1091, 424
2006-08-20, 1091, 424
2006-08-21, 1091, 424
2006-08-22, 1091, 424
2006-08-23, 1092, 425
2006-08-24, 1096, 425
2006-08-25, 1097, 426
2006-08-26, 1102, 426
2006-08-27, 1107, 427
2006-08-28, 1108, 427
2006-08-29, 1108, 427
2006-08-30, 1109, 427
2006-08-31, 1109, 431
2006-09-01, 1113, 432
2006-09-02, 1113, 432
2006-09-03, 1116, 433
2006-09-04, 1118, 435
2006-09-05, 1118, 435
2006-09-06, 1119, 436
2006-09-07, 1119, 437
2006-09-08, 1119, 438
2006-09-09, 1121, 441
2006-09-10, 1121, 441
2006-09-11, 1122, 442
2006-09-12, 1122, 442
2006-09-13, 1122, 444
2006-09-14, 1122, 444
2006-09-15, 1123, 445
2006-09-16, 1123, 445
2006-09-17, 1123, 445
2006-09-18, 1124, 447
2006-09-19, 1124, 447
2006-09-20, 1124, 447
2006-09-21, 1124, 447
2006-09-22, 1123, 447
2006-09-23, 1124, 448
2006-09-24, 1124, 448
2006-09-25, 1124, 448
2006-09-26, 1124, 448
2006-09-27, 1124, 448
2006-09-28, 1124, 448
2006-09-29, 1119, 448
2006-09-30, 1117, 448
2006-10-01, 1117, 448
2006-10-02, 1118, 448
2006-10-03, 1118, 448
2006-10-04, 1121, 449
2006-10-05, 1128, 456
2006-10-06, 1130, 456
2006-10-07, 1130, 456
2006-10-08, 1130, 456
2006-10-09, 1130, 456
2006-10-10, 1132, 462
2006-10-11, 1124, 457
2006-10-12, 1129, 458
2006-10-13, 1129, 458
2006-10-14, 1134, 458
2006-10-15, 1134, 458
2006-10-16, 1138, 458
2006-10-17, 1139, 459
2006-10-18, 1143, 457
2006-10-19, 1145, 457
2006-10-20, 1146, 458
2006-10-21, 1146, 458
2006-10-22, 1150, 459
2006-10-23, 1150, 459
2006-10-24, 1151, 459
2006-10-25, 1151, 460
2006-10-26, 1151, 461
2006-10-27, 1151, 461
2006-10-28, 1150, 460
2006-10-29, 1150, 460
2006-10-30, 1150, 460
2006-10-31, 1162, 463
2006-11-01, 1168, 466
2006-11-02, 1167, 464
2006-11-03, 1171, 466
2006-11-04, 1171, 467
2006-11-05, 1175, 467
2006-11-06, 1175, 472
2006-11-07, 1172, 470
2006-11-08, 1174, 472
2006-11-09, 1175, 473
2006-11-10, 1175, 473
2006-11-11, 1174, 473
2006-11-12, 1178, 473
2006-11-13, 1219, 488
2006-11-14, 1220, 488
2006-11-15, 1221, 489
2006-11-16, 1221, 490
2006-11-17, 1221, 490
2006-11-18, 1221, 490
2006-11-19, 1223, 491
2006-11-20, 1225, 492
2006-11-21, 1226, 493
2006-11-22, 1226, 493
2006-11-23, 1226, 493
2006-11-24, 1229, 494
2006-11-25, 1229, 494
2006-11-26, 1229, 494
2006-11-27, 1230, 494
2006-11-28, 1230, 495
2006-11-29, 1232, 495
2006-11-30, 1233, 495
2006-12-01, 1235, 495
2006-12-02, 1235, 495
2006-12-03, 1235, 495
2006-12-04, 1235, 495
2006-12-05, 1245, 500
2006-12-06, 1246, 501
2006-12-07, 1246, 501
2006-12-08, 1246, 501
2006-12-09, 1247, 501
2006-12-10, 1254, 501
2006-12-11, 1254, 506
2006-12-12, 1254, 506
2006-12-13, 1254, 506
2006-12-14, 1258, 507
2006-12-15, 1265, 512
2006-12-16, 1267, 514
2006-12-17, 1268, 514
2006-12-18, 1268, 514
2006-12-19, 1268, 513
2006-12-20, 1268, 513
2006-12-21, 1271, 512
2006-12-22, 1271, 513
2006-12-23, 1271, 513
2006-12-24, 1271, 513
2006-12-25, 1271, 513
2006-12-26, 1270, 513
2006-12-27, 1269, 513
2006-12-28, 1271, 513
2006-12-29, 1272, 514
2006-12-30, 1273, 514
2006-12-31, 1273, 514
2007-01-01, 1273, 514
2007-01-02, 1276, 513
2007-01-03, 1277, 515
2007-01-04, 1276, 515
2007-01-05, 1278, 515
2007-01-06, 1278, 515
2007-01-07, 1278, 515
2007-01-08, 1278, 515
2007-01-09, 1283, 516
2007-01-10, 1283, 517
2007-01-11, 1284, 522
2007-01-12, 1285, 525
2007-01-13, 1292, 531
2007-01-14, 1292, 531
2007-01-15, 1296, 533
2007-01-16, 1300, 533
2007-01-17, 1301, 533
2007-01-18, 1301, 533
2007-01-19, 1301, 533
2007-01-20, 1301, 533
2007-01-21, 1301, 533
2007-01-22, 1301, 533
2007-01-23, 1303, 534
2007-01-24, 1308, 535
2007-01-25, 1309, 535
2007-01-26, 1311, 535
2007-01-27, 1315, 538
2007-01-28, 1316, 538
2007-01-29, 1316, 538
2007-01-30, 1318, 539
2007-01-31, 1318, 540
2007-02-01, 1319, 541
2007-02-02, 1315, 538
2007-02-03, 1315, 538
2007-02-04, 1318, 538
2007-02-05, 1318, 538
2007-02-06, 1320, 539
2007-02-07, 1320, 539
2007-02-08, 1320, 539
2007-02-09, 1320, 539
2007-02-10, 1321, 540
2007-02-11, 1321, 540
2007-02-12, 1329, 540
2007-02-13, 1333, 542
2007-02-14, 1336, 544
2007-02-15, 1341, 544
2007-02-16, 1332, 546
2007-02-17, 1350, 546
2007-02-18, 1350, 546
2007-02-19, 1352, 546
2007-02-20, 1352, 547
2007-02-21, 1353, 547
2007-02-22, 1353, 548
2007-02-23, 1355, 548
2007-02-24, 1355, 548
2007-02-25, 1355, 549
2007-02-26, 1355, 549
2007-02-27, 1355, 549
2007-02-28, 1356, 550
2007-03-01, 1348, 546
2007-03-02, 1350, 546
2007-03-03, 1352, 549
2007-03-04, 1313, 548
2007-03-05, 1315, 548
2007-03-06, 1320, 551
2007-03-07, 1319, 548
2007-03-08, 1319, 550
2007-03-09, 1322, 553
2007-03-10, 1322, 553
2007-03-11, 1322, 553
2007-03-12, 1321, 553
2007-03-13, 1324, 554
2007-03-14, 1328, 556
2007-03-15, 1328, 556
2007-03-16, 1329, 556
2007-03-17, 1330, 556
2007-03-18, 1330, 556
2007-03-19, 1335, 559
2007-03-20, 1345, 562
2007-03-21, 1347, 562
2007-03-22, 1348, 564
2007-03-23, 1349, 565
2007-03-24, 1350, 567
2007-03-25, 1352, 567
2007-03-26, 1353, 567
2007-03-27, 1320, 557
2007-03-28, 1320, 557
2007-03-29, 1320, 557
