number of subscribers
number of subscribers, pypy-dev, pypy-svn
2007-01-28, 322, 56
2007-01-29, 322, 56
2007-01-30, 322, 55
2007-01-31, 321, 55
2007-02-01, 321, 55
2007-02-02, 321, 55
2007-02-03, 321, 55
2007-02-04, 321, 55
2007-02-05, 320, 55
2007-02-06, 320, 55
2007-02-07, 321, 55
2007-02-08, 321, 55
2007-02-09, 322, 55
2007-02-10, 322, 55
2007-02-11, 322, 55
2007-02-12, 322, 55
2007-02-13, 322, 55
2007-02-14, 322, 55
2007-02-15, 322, 55
2007-02-16, 323, 55
2007-02-17, 324, 56
2007-02-18, 323, 56
2007-02-19, 324, 56
2007-02-20, 326, 57
2007-02-21, 326, 57
2007-02-22, 326, 57
2007-02-23, 326, 57
2007-02-26, 327, 57
2007-02-27, 327, 57
2007-02-28, 327, 57
2007-03-01, 328, 57
2007-03-02, 328, 57
2007-03-05, 329, 57
2007-03-06, 329, 57
2007-03-07, 329, 57
2007-03-08, 330, 57
2007-03-09, 330, 57
2007-03-10, 330, 57
2007-03-11, 330, 57
2007-03-12, 330, 57
2007-03-14, 330, 57
2007-03-15, 330, 57
2007-03-16, 331, 57
2007-03-17, 331, 57
2007-03-18, 331, 57
2007-03-19, 330, 57
2007-03-20, 329, 57
2007-03-22, 329, 57
2007-03-23, 328, 57
2007-03-24, 329, 57
2007-03-25, 329, 56
2007-03-26, 329, 56
2007-03-27, 329, 56
