Lines of Code in the pypy subtree
lines of code, lines of code, lines of testcode
2006/03/31, 174915, 46889
2006/04/01, 175211, 46910
2006/04/02, 175537, 47085
2006/04/03, 175795, 47186
2006/04/04, 176373, 47399
2006/04/05, 178170, 47256
2006/04/06, 177675, 47389
2006/04/07, 178276, 47631
2006/04/08, 178733, 47684
2006/04/09, 186394, 48077
2006/04/10, 186785, 48474
2006/04/11, 187071, 48645
2006/04/12, 187328, 48773
2006/04/13, 187417, 48900
2006/04/14, 187650, 48936
2006/04/15, 187874, 49072
2006/04/16, 188073, 49083
2006/04/17, 188185, 49343
2006/04/18, 188368, 49760
2006/04/19, 188764, 50000
2006/04/20, 189386, 50060
2006/04/21, 189444, 50233
2006/04/22, 189708, 50343
2006/04/23, 190100, 50476
2006/04/24, 190581, 50716
2006/04/25, 191060, 50946
2006/04/26, 191265, 51180
2006/04/27, 191806, 51553
2006/04/28, 192251, 51836
2006/04/29, 192654, 52220
2006/04/30, 192740, 52241
2006/05/01, 192740, 52245
2006/05/02, 192950, 52435
2006/05/03, 193237, 52548
2006/05/04, 193297, 52720
2006/05/05, 193577, 53008
2006/05/06, 194029, 53366
2006/05/07, 194263, 53544
2006/05/08, 194325, 53503
2006/05/09, 194384, 53587
2006/05/10, 194921, 53800
2006/05/11, 195221, 54028
2006/05/12, 195535, 54202
2006/05/13, 196169, 54314
2006/05/14, 195622, 54424
2006/05/15, 195827, 54685
2006/05/16, 196171, 54954
2006/05/17, 197172, 55029
2006/05/18, 197223, 54967
2006/05/19, 197404, 55047
2006/05/20, 198903, 55211
2006/05/21, 199040, 55475
2006/05/22, 199114, 55577
2006/05/23, 199431, 55391
2006/05/24, 203342, 55383
2006/05/25, 203490, 55570
2006/05/26, 203563, 55563
2006/05/27, 203653, 55592
2006/05/28, 203670, 55592
2006/05/29, 204409, 57115
2006/05/30, 235501, 57122
2006/05/31, 235493, 57122
2006/06/02, 235690, 57191
2006/06/03, 236072, 57355
2006/06/04, 236020, 58196
2006/06/05, 236286, 58331
2006/06/06, 236730, 58474
2006/06/07, 237402, 58537
2006/06/08, 237731, 58790
2006/06/09, 236391, 56722
2006/06/10, 236447, 56788
2006/06/11, 236558, 56800
2006/06/12, 237246, 57071
2006/06/13, 236849, 57211
2006/06/14, 236747, 57335
2006/06/15, 237010, 57438
2006/06/16, 237223, 57674
2006/06/17, 237227, 57705
2006/06/18, 237243, 57759
2006/06/19, 237290, 58140
2006/06/20, 237711, 58324
2006/06/21, 236934, 58324
2006/06/22, 237228, 58454
2006/06/23, 237265, 58460
2006/06/24, 237586, 58460
2006/06/25, 237964, 58689
2006/06/26, 238162, 58755
2006/06/27, 238361, 58778
2006/06/28, 238484, 58830
2006/06/29, 238832, 58938
2006/06/30, 238742, 58961
2006/07/01, 238361, 58943
2006/07/02, 238651, 59001
2006/07/03, 238674, 59009
2006/07/04, 238724, 59012
2006/07/05, 238901, 59013
2006/07/06, 238884, 59396
2006/07/07, 239546, 59615
2006/07/08, 241573, 60173
2006/07/09, 242229, 60524
2006/07/10, 242273, 60532
2006/07/11, 242885, 60796
2006/07/12, 243281, 61279
2006/07/13, 243406, 61287
2006/07/14, 243459, 61314
2006/07/15, 243520, 61313
2006/07/16, 243621, 61344
2006/07/17, 243883, 61480
2006-07-17, 243621, 61344
2006-07-18, 243886, 61525
2006-07-19, 244520, 61568
2006-07-20, 244866, 61922
2006-07-21, 244969, 61966
2006-07-22, 245046, 62020
2006-07-23, 245229, 62043
2006-07-24, 245421, 62142
2006-07-25, 245618, 62211
2006-07-26, 245251, 62324
2006-07-27, 245921, 62650
2006-07-28, 246016, 62694
2006-07-29, 249837, 62836
2006-07-30, 249901, 62893
2006-07-31, 249933, 62894
2006-08-01, 250022, 62941
2006-08-02, 250276, 63020
2006-08-03, 248113, 62052
2006-08-04, 248192, 62110
2006-08-05, 249951, 62532
2006-08-06, 250333, 62659
2006-08-07, 250401, 62670
2006-08-08, 252585, 63100
2006-08-09, 252849, 63027
2006-08-10, 253370, 63137
2006-08-11, 253464, 63219
2006-08-12, 253592, 63309
2006-08-13, 253597, 63309
2006-08-14, 253600, 63309
2006-08-15, 253707, 63375
2006-08-16, 254098, 63549
2006-08-17, 254591, 63698
2006-08-18, 254640, 63783
2006-08-19, 254723, 63783
2006-08-20, 254707, 63789
2006-08-21, 254932, 64065
2006-08-22, 254820, 63836
2006-08-23, 255008, 63958
2006-08-24, 255255, 64074
2006-08-25, 255383, 64175
2006-08-26, 255553, 64197
2006-08-27, 255283, 64604
2006-08-28, 255368, 64660
2006-08-29, 255368, 64660
2006-08-30, 256002, 64772
2006-08-31, 255939, 64828
2006-09-01, 256059, 64897
2006-09-02, 256072, 64896
2006-09-03, 256651, 65050
2006-09-04, 256654, 65213
2006-09-05, 256678, 65296
2006-09-06, 256933, 65562
2006-09-07, 257168, 65707
2006-09-08, 257380, 65826
2006-09-09, 257996, 66107
2006-09-10, 258138, 66194
2006-09-11, 258419, 66313
2006-09-12, 258503, 66321
2006-09-13, 258624, 66365
2006-09-14, 258625, 66401
2006-09-15, 258783, 66509
2006-09-16, 258785, 66512
2006-09-17, 258806, 66519
2006-09-18, 258424, 66766
2006-09-19, 258438, 66797
2006-09-20, 258438, 66797
2006-09-21, 258436, 66851
2006-09-22, 258059, 67034
2006-09-23, 258667, 67089
2006-09-24, 258792, 67181
2006-09-25, 258793, 67181
2006-09-26, 258797, 67221
2006-09-27, 258858, 67228
2006-09-28, 259082, 67296
2006-09-29, 258980, 67013
2006-09-30, 258822, 67973
2006-10-01, 258935, 68062
2006-10-02, 259055, 68084
2006-10-03, 259204, 68209
2006-10-04, 296696, 68497
2006-10-05, 298069, 68956
2006-10-06, 298223, 69071
2006-10-07, 298327, 69155
2006-10-08, 298428, 69175
2006-10-09, 298430, 69177
2006-10-10, 297621, 69224
2006-10-11, 296425, 68673
2006-10-12, 294584, 68892
2006-10-13, 294744, 68942
2006-10-14, 295543, 68963
2006-10-15, 295543, 68963
2006-10-16, 295732, 68963
2006-10-17, 295851, 69007
2006-10-18, 296612, 69393
2006-10-19, 296832, 69369
2006-10-20, 297146, 69404
2006-10-21, 297332, 69565
2006-10-22, 298113, 69570
2006-10-23, 298120, 69570
2006-10-24, 298222, 69603
2006-10-25, 298556, 69777
2006-10-26, 298706, 69813
2006-10-27, 298766, 70013
2006-10-28, 298359, 69758
2006-10-29, 298359, 69758
2006-10-30, 298357, 69735
2006-10-31, 299054, 69842
2006-11-01, 300281, 69956
2006-11-02, 300230, 69927
2006-11-03, 300443, 70008
2006-11-04, 300886, 70417
2006-11-05, 301166, 70513
2006-11-06, 301201, 70616
2006-11-07, 300495, 69816
2006-11-08, 300804, 70084
2006-11-09, 300878, 70257
2006-11-10, 301106, 70340
2006-11-11, 301302, 70392
2006-11-12, 301728, 70598
2006-11-13, 314202, 72483
2006-11-14, 314394, 72265
2006-11-15, 314736, 72346
2006-11-16, 315160, 72531
2006-11-17, 315070, 72670
2006-11-18, 315097, 72705
2006-11-19, 315261, 72795
2006-11-20, 315333, 72837
2006-11-21, 315777, 72949
2006-11-22, 316130, 73006
2006-11-23, 316162, 73035
2006-11-24, 316338, 73248
2006-11-25, 316378, 73355
2006-11-26, 316415, 73366
2006-11-27, 316532, 73366
2006-11-28, 318388, 73700
2006-11-29, 318515, 73704
2006-11-30, 318645, 73752
2006-12-01, 318816, 73833
2006-12-02, 318840, 73899
2006-12-03, 318845, 73899
2006-12-04, 318930, 73941
2006-12-05, 319614, 73996
2006-12-06, 319623, 74108
2006-12-07, 319828, 74140
2006-12-08, 320019, 74173
2006-12-09, 320215, 74192
2006-12-10, 320927, 74430
2006-12-11, 320937, 74505
2006-12-12, 321194, 74652
2006-12-13, 321238, 74723
2006-12-14, 321114, 74849
2006-12-15, 321900, 75884
2006-12-16, 322135, 76292
2006-12-17, 322261, 76341
2006-12-18, 322384, 76348
2006-12-19, 322382, 76315
2006-12-20, 322718, 76471
2006-12-21, 322961, 76259
2006-12-22, 323044, 76354
2006-12-23, 323068, 76392
2006-12-24, 323117, 76424
2006-12-25, 323123, 76420
2006-12-26, 323108, 76427
2006-12-27, 321740, 76431
2006-12-28, 321872, 76671
2006-12-29, 322115, 76909
2006-12-30, 322246, 76916
2006-12-31, 322288, 77018
2007-01-01, 322277, 77019
2007-01-02, 322403, 77007
2007-01-03, 322478, 77390
2007-01-04, 322672, 77448
2007-01-05, 322736, 77448
2007-01-06, 322746, 77448
2007-01-07, 322751, 77449
2007-01-08, 322751, 77449
2007-01-09, 323243, 77508
2007-01-10, 323870, 77955
2007-01-11, 324115, 78315
2007-01-12, 324587, 78684
2007-01-13, 325435, 79072
2007-01-14, 325840, 79048
2007-01-15, 327282, 79265
2007-01-16, 327409, 79308
2007-01-17, 327661, 79392
2007-01-18, 327683, 79412
2007-01-19, 327710, 79413
2007-01-20, 327918, 79523
2007-01-21, 328238, 79543
2007-01-22, 328265, 79543
2007-01-23, 328471, 79704
2007-01-24, 328920, 79596
2007-01-25, 329021, 79667
2007-01-26, 329599, 79832
2007-01-27, 329913, 80096
2007-01-28, 329973, 80135
2007-01-29, 330044, 80152
2007-01-30, 330947, 80359
2007-01-31, 331201, 80459
2007-02-01, 331558, 80704
2007-02-02, 331301, 80417
2007-02-03, 331338, 80446
2007-02-04, 331374, 80467
2007-02-05, 331386, 80467
2007-02-06, 332398, 80586
2007-02-07, 332416, 80605
2007-02-08, 332417, 80637
2007-02-09, 332470, 80667
2007-02-10, 332813, 80738
2007-02-11, 332829, 80737
2007-02-12, 333328, 80848
2007-02-13, 333567, 81010
2007-02-14, 333735, 81254
2007-02-15, 334047, 81257
2007-02-16, 333963, 81385
2007-02-17, 335704, 81385
2007-02-18, 335734, 81378
2007-02-19, 335817, 81385
2007-02-20, 335827, 81515
2007-02-21, 335956, 81523
2007-02-22, 335977, 81541
2007-02-23, 336100, 81548
2007-02-24, 336190, 81624
2007-02-25, 336196, 81631
2007-02-26, 336210, 81660
2007-02-27, 336236, 81682
2007-02-28, 336322, 81773
2007-03-01, 336260, 81100
2007-03-02, 336403, 81141
2007-03-03, 336942, 81632
2007-03-04, 334152, 81512
2007-03-05, 333965, 81622
2007-03-06, 334545, 81991
2007-03-07, 334605, 81919
2007-03-08, 334715, 82002
2007-03-09, 336733, 82600
2007-03-10, 336770, 82633
2007-03-11, 336818, 82713
2007-03-12, 336834, 82726
2007-03-13, 337004, 83011
2007-03-14, 337416, 83332
2007-03-15, 337519, 83417
2007-03-16, 337652, 83481
2007-03-17, 337877, 83536
2007-03-18, 337882, 83545
2007-03-19, 340120, 84724
2007-03-20, 340903, 85165
2007-03-21, 341386, 85533
2007-03-22, 341629, 85843
2007-03-23, 341836, 85996
2007-03-24, 341916, 86128
2007-03-25, 341946, 86165
2007-03-26, 341954, 86163
2007-03-27, 339868, 84825
2007-03-28, 339894, 84837
2007-03-29, 339918, 84862
